population,respawn_time,mode,recovery_time_s_mean,recovery_time_s_min,recovery_time_s_max,churn_rate_mean,churn_rate_min,churn_rate_max,throughput_rate_mean,throughput_rate_min,throughput_rate_max,latency_mean_s_mean,latency_mean_s_min,latency_mean_s_max,n_runs,recovery_censored_fraction,latency_censored_fraction_mean,queue_nonempty_fraction_mean,queue_persistently_nonempty
4,10.0,dynamic,338.4,338.4,338.4,0.10500000000000001,0.1,0.125,13.540000000000001,10.1,20.8,17.317291666668964,8.021874999999644,26.45416666667316,5,0.8,0.39,0.48361204013377923,False
4,10.0,static,403.16999999999996,352.46,453.88,0.1,0.1,0.1,14.180000000000001,0.0,24.5,42.54722222222517,19.83472222222134,88.86249999999954,5,0.6,0.3,0.0016722408026755853,False
4,30.0,dynamic,561.33,561.33,561.33,0.1,0.1,0.1,12.0,10.1,14.7,17.852083333335607,10.695833333332859,26.45416666667316,5,0.8,0.4,0.6394648829431439,True
4,30.0,static,403.16999999999996,352.46,453.88,0.1,0.1,0.1,14.180000000000001,0.0,24.5,42.54722222222517,19.83472222222134,88.86249999999954,5,0.6,0.3,0.0016722408026755853,False
4,90.0,dynamic,561.33,561.33,561.33,0.1,0.1,0.1,12.0,10.1,14.7,17.852083333335607,10.695833333332859,26.45416666667316,5,0.8,0.4,0.6394648829431439,True
4,90.0,static,403.16999999999996,352.46,453.88,0.1,0.1,0.1,14.180000000000001,0.0,24.5,42.54722222222517,19.83472222222134,88.86249999999954,5,0.6,0.3,0.0016722408026755853,False
8,10.0,dynamic,281.92,167.7,467.94,0.1325,0.1125,0.1625,32.980000000000004,21.6,40.5,19.716206349200252,9.027083333332897,42.42291666664294,5,0.2,0.42749028749028745,0.18026755852842807,False
8,10.0,static,313.79999999999995,142.59,586.43,0.10750000000000001,0.1,0.1375,26.119999999999997,15.6,39.2,37.860515873014926,13.779166666666091,93.67916666666184,5,0.2,0.26590909090909093,0.8688963210702341,True
8,30.0,dynamic,290.606,167.7,467.94,0.1325,0.1125,0.1625,34.239999999999995,22.4,46.0,20.497972222215186,9.597023809521739,45.761805555528774,5,0.0,0.4093084693084693,0.17892976588628762,False
8,30.0,static,315.3075,142.59,592.46,0.10750000000000001,0.1,0.1375,26.04,15.6,39.2,37.860515873014926,13.779166666666091,93.67916666666184,5,0.2,0.26590909090909093,0.8682274247491639,True
8,90.0,dynamic,290.606,167.7,467.94,0.1325,0.1125,0.1625,32.8,22.4,38.8,22.502416666657815,9.597023809521739,55.78402777774193,5,0.0,0.4093084693084693,0.17892976588628762,False
8,90.0,static,315.3075,142.59,592.46,0.10750000000000001,0.1,0.1375,26.04,15.6,39.2,37.860515873014926,13.779166666666091,93.67916666666184,5,0.2,0.26590909090909093,0.8682274247491639,True
16,10.0,dynamic,141.388,93.39,191.8,0.11875,0.11875,0.11875,39.22,30.4,46.5,12.30820075757569,7.517708333332607,15.351136363634621,5,0.0,0.4,0.08862876254180602,False
16,10.0,static,111.862,48.2,174.72,0.1,0.1,0.1,43.36,32.0,59.8,20.862165889666493,11.535227272726951,26.497348484851486,5,0.0,0.275,0.9983277591973245,True
16,30.0,dynamic,141.388,93.39,191.8,0.11875,0.11875,0.11875,40.94,33.1,56.4,10.74498106060615,5.421969696969467,16.435984848482075,5,0.0,0.41052631578947363,0.08862876254180602,False
16,30.0,static,95.998,48.2,145.6,0.1,0.1,0.1,47.64,29.4,59.7,21.276610334110615,14.98522727272665,26.497348484851486,5,0.0,0.275,0.9983277591973245,True
16,90.0,dynamic,141.388,93.39,191.8,0.11875,0.11875,0.11875,39.38,28.7,56.4,8.647117424243065,5.421969696969467,14.425378787883075,5,0.0,0.42105263157894735,0.08862876254180602,False
16,90.0,static,95.998,48.2,145.6,0.1,0.1,0.1,40.94,29.4,59.8,19.568933566434225,11.535227272726951,26.497348484851486,5,0.0,0.2875,0.9983277591973245,True
